/articles.html?id=4, 0.12s, Status Code: 200
/articles.html?id=1, 0.33s, Status Code: 401
/vendor/bootstrap.min.js, 0.89s, Status Code: 200
/articles123.html?id=4, 0.12s, Status Code: 200
/articles345.html?id=1, 0.33s, Status Code: 401
/vendor/bootstrap123.min.js, 0.89s, Status Code: 200
/article567s.html?id=4, 0.12s, Status Code: 200
/articles678.html?id=1, 0.33s, Status Code: 401
/vendor/bootstrap345.min.js, 0.89s, Status Code: 200
/articles1234.html?id=4, 0.12s, Status Code: 200
/articles45678.html?id=1, 0.33s, Status Code: 401
/vendor/bootstrap2345.min.js, 0.89s, Status Code: 200
/articles.html?id=4, 0.12s, Status Code: 200
/articles.html?id=1, 0.33s, Status Code: 401
/vendor/bootstrap.min.js, 0.89s, Status Code: 200
/articles123.html?id=4, 0.12s, Status Code: 200
/articles345.html?id=1, 0.33s, Status Code: 401
/vendor/bootstrap123.min.js, 0.89s, Status Code: 200
/article567s.html?id=4, 0.12s, Status Code: 200
/articles678.html?id=1, 0.33s, Status Code: 401
/vendor/bootstrap345.min.js, 0.89s, Status Code: 200
/articles1234.html?id=4, 0.12s, Status Code: 200
/articles45678.html?id=1, 0.33s, Status Code: 401
/vendor/bootstrap2345.min.js, 0.89s, Status Code: 200
/articles.html?id=4, 0.12s, Status Code: 200
/articles.html?id=1, 0.33s, Status Code: 401
/vendor/bootstrap.min.js, 0.89s, Status Code: 200
/articles123.html?id=4, 0.12s, Status Code: 200
/articles345.html?id=1, 0.33s, Status Code: 401
/vendor/bootstrap123.min.js, 0.89s, Status Code: 200
/article567s.html?id=4, 0.12s, Status Code: 200
/articles678.html?id=1, 0.33s, Status Code: 401
/vendor/bootstrap345.min.js, 0.89s, Status Code: 200
/articles1234.html?id=4, 0.12s, Status Code: 200
/articles45678.html?id=1, 0.33s, Status Code: 401
/vendor/bootstrap2345.min.js, 0.89s, Status Code: 200
/articles.html?id=4, 0.12s, Status Code: 200
/articles.html?id=1, 0.33s, Status Code: 401
/vendor/bootstrap.min.js, 0.89s, Status Code: 200
/articles123.html?id=4, 0.12s, Status Code: 200
/articles345.html?id=1, 0.33s, Status Code: 401
/vendor/bootstrap123.min.js, 0.89s, Status Code: 200
/article567s.html?id=4, 0.12s, Status Code: 200
/articles678.html?id=1, 0.33s, Status Code: 401
/vendor/bootstrap345.min.js, 0.89s, Status Code: 200
/articles1234.html?id=4, 0.12s, Status Code: 200
/articles45678.html?id=1, 0.33s, Status Code: 401
/vendor/bootstrap2345.min.js, 0.89s, Status Code: 200
/articles.html?id=4, 0.12s, Status Code: 200
/articles.html?id=1, 0.33s, Status Code: 401
/vendor/bootstrap.min.js, 0.89s, Status Code: 200
/articles123.html?id=4, 0.12s, Status Code: 200
/articles345.html?id=1, 0.33s, Status Code: 401
/vendor/bootstrap123.min.js, 0.89s, Status Code: 200
