/articles1.gif?id=4, 0.15s, Status Code: 200
/articles1.gif?id=1, 0.33s, Status Code: 401
/articles2.gif?id=4, 0.15s, Status Code: 200
/articles2.gif?id=1, 0.33s, Status Code: 401
/articles3.gif?id=4, 0.15s, Status Code: 200
/articles3.gif?id=1, 0.33s, Status Code: 401
/articles4.gif?id=4, 0.15s, Status Code: 200
/articles4.gif?id=1, 0.33s, Status Code: 401
/articles5.gif?id=4, 0.15s, Status Code: 200
/articles5.gif?id=1, 0.33s, Status Code: 401
/articles6.gif?id=4, 0.15s, Status Code: 200
/articles6.gif?id=1, 0.33s, Status Code: 401
/articles7.gif?id=4, 0.15s, Status Code: 200
/articles7.gif?id=1, 0.33s, Status Code: 401
/articles8.gif?id=4, 0.15s, Status Code: 200
/articles8.gif?id=1, 0.33s, Status Code: 401
/articles9.gif?id=4, 0.15s, Status Code: 200
/articles9.gif?id=1, 0.33s, Status Code: 401
/articles11.gif?id=4, 0.15s, Status Code: 200
/articles11.gif?id=1, 0.33s, Status Code: 401
/articles12.gif?id=4, 0.15s, Status Code: 200
/articles12.gif?id=1, 0.33s, Status Code: 401
/articles13.gif?id=4, 0.15s, Status Code: 200
/articles13.gif?id=1, 0.33s, Status Code: 401
