/articles.html?id=4, 0.12s, Status Code: 200
/articles.html?id=1, 0.33s, Status Code: 401
/vendor/bootstrap.min.js, 0.89s, Status Code: 200
/articles123.html?id=4, 0.12s, Status Code: 200
/articles345.html?id=1, 0.33s, Status Code: 401
/vendor/bootstrap123.min.js, 0.89s, Status Code: 200
/articles.html?id=4, 0.15s, Status Code: 200
/articles.html?id=1, 0.33s, Status Code: 401
/vendor/bootstrap.min.js, 0.54s, Status Code: 200
/articles6.gif?id=4, 0.15s, Status Code: 200
/articles6.gif?id=1, 0.33s, Status Code: 401
/articles7.gif?id=4, 0.15s, Status Code: 200
/articles7.gif?id=1, 0.33s, Status Code: 401
/articles8.gif?id=4, 0.15s, Status Code: 200
/articles8.gif?id=1, 0.33s, Status Code: 401
/articles9.gif?id=4, 0.15s, Status Code: 200
/articles9.gif?id=1, 0.33s, Status Code: 401
/articles11.gif?id=4, 0.15s, Status Code: 200
/articles11.gif?id=1, 0.33s, Status Code: 401
/articles12.gif?id=4, 0.15s, Status Code: 200
/articles12.gif?id=1, 0.33s, Status Code: 401
/articles13.gif?id=4, 0.15s, Status Code: 200
/articles13.gif?id=1, 0.33s, Status Code: 401
